datano,fitur0,fitur1,fitur2,fitur3,fitur4,fitur5,fitur6,fitur7,fitur8,fitur9,fitur10,fitur11,fitur12,fitur13,fitur14,fitur15,fitur16,fitur17,fitur18,fitur19,kelas
104,762,18385,9804,5438,3246,13961,543,176014,1545,735,983,599,1182,1216,1134,1363,745,570,593,1182,1
105,8079,106334,6187,44506,2998,1570,8394,2108,11073,2816,6087,3040,9848,7497,3814,3927,4795,3057,2408,1462,1
106,204332,9261,676,2354,1325,1515,2769,693,3895,1518,666,946,822,1302,3876,702,1231,934,378,805,-1
107,203339,1742,2365,502,1186,1226,877,1416,13730,562,1507,626,457,985,2472,576,3474,1274,890,794,-1
108,201682,2683,1080,2065,774,2463,1213,835,1204,11416,1504,2909,2929,426,1430,1545,982,651,625,1584,-1
109,5082,176721,15742,2007,2440,1818,3354,1285,2174,2235,2403,1338,2306,3926,3059,6771,2131,1271,1127,2810,-1
110,1082,3074,77048,23089,20438,7665,4162,2784,2954,1676,1436,1890,82967,286,786,1270,1031,2056,2610,1696,-1
111,52248,6518,55802,14220,1823,4011,12296,18501,11201,10467,3707,10943,1213,3789,3512,12437,2170,4097,6947,4098,1
112,53892,3285,52298,12606,14548,19988,4599,1525,15043,3092,5692,11062,3911,987,7972,12680,6965,3797,2643,3415,1
113,102562,1653,5912,45047,3784,5343,17548,7151,2859,2754,2580,3381,5091,6655,3258,3687,3464,5522,5330,6419,1
114,38270,17158,15111,53323,10446,39990,3727,7761,2540,6607,13884,3283,9297,733,4352,3697,2092,1442,4062,2225,1
115,59188,24930,2751,10614,16349,50743,17571,3410,3360,6324,3699,5331,1044,5308,10427,7049,4348,1811,2706,3037,1
116,91458,1489,1185,1216,1593,1492,101286,1166,537,4618,85,1209,13072,1017,800,7523,4692,1017,4350,195,-1
117,162742,2585,1664,1576,1941,2231,9411,2501,10039,1898,2083,542,1714,1926,12177,4561,88,1836,18279,206,-1
118,89127,2005,1188,1650,1455,1417,6267,11764,1546,545,5009,4375,1277,10295,1486,84,1176,97470,173,1691,-1
119,196732,1219,1566,757,1144,1030,3372,404,5990,6116,546,2324,4158,845,81,198,1000,10657,769,1092,-1
120,164849,3224,1724,1566,9176,1619,9154,2229,1266,1533,2039,1973,544,84,16254,1513,4484,207,14950,1612,-1
121,31537,22013,17333,4466,17809,37862,2956,866,832,43369,10979,17497,4631,9761,1866,1500,6739,1079,1678,5227,-1
122,29164,30923,4939,55331,3366,405,16995,10709,2566,4517,5769,1916,2916,626,3235,29674,16733,10989,8030,1197,-1
123,17660,8557,68596,4790,30736,17578,13635,1972,14316,2769,675,6292,5172,9463,364,308,31201,2946,1683,1287,-1
124,69699,31009,8324,10382,3545,2633,19231,1537,13083,1426,4055,5071,6492,33708,3228,12634,331,9043,1213,3356,-1
125,95225,30135,8389,6005,1528,15669,4346,3001,756,11224,6988,1516,3007,2011,575,29761,2272,3713,1561,12318,-1
126,217713,2242,3605,311,499,448,1889,443,542,1283,532,225,486,3213,2450,447,1485,100,776,1311,-1
127,199209,1593,3189,3951,1750,1973,2170,509,365,10662,370,1659,336,2483,1547,432,1921,230,5206,445,-1
128,204174,1698,9156,674,2429,277,1549,2020,1080,1783,1613,684,578,1398,2512,1521,847,4698,514,795,-1
129,214501,4336,10799,745,298,1703,1051,703,127,93,465,1455,186,150,112,202,1627,1189,117,141,-1
130,815,180873,30452,5165,341,278,852,321,134,5131,13215,272,110,319,279,468,47,635,214,79,-1
131,200217,18957,17467,100,215,139,215,298,298,288,267,91,85,132,295,91,71,517,172,85,-1
132,181363,43872,311,500,207,704,400,565,631,155,1435,922,469,284,403,141,894,2112,558,4074,-1
133,237627,121,90,67,68,34,81,44,127,145,1005,68,87,70,56,48,88,46,64,64,-1
134,221147,8304,144,294,537,365,316,742,721,245,336,329,3378,817,435,309,163,478,578,362,-1
135,226976,1414,300,288,348,191,321,320,412,198,1960,3215,232,553,166,383,307,399,1865,152,-1
136,197553,3937,12242,1470,640,520,14742,1012,1574,781,358,769,268,784,341,240,708,1576,217,268,-1
137,339,25846,19834,183923,318,1717,1586,471,556,171,486,396,665,497,294,1110,618,526,340,307,-1
138,122215,89996,1092,9827,865,814,543,529,591,1471,3908,1543,1266,739,872,494,732,1020,710,773,-1
139,191555,8492,14706,736,586,4727,7389,1231,1840,1888,1091,912,430,229,182,429,226,947,548,1856,-1
140,206512,11196,9283,916,504,932,803,1146,610,1342,261,777,3008,400,433,252,1019,212,192,202,-1
141,279,208280,9838,946,2319,447,281,749,2003,530,672,671,1433,1901,793,330,944,456,6953,175,-1
142,196680,2150,10479,2372,1835,1327,951,10869,1845,1358,882,1100,717,1079,474,314,1952,551,2427,638,-1
143,188509,7855,3990,10028,5390,1625,7485,286,4454,1643,1557,956,259,676,980,599,915,642,1381,770,-1
144,213001,9046,948,1090,2405,1159,358,2301,1005,1024,743,812,764,616,172,207,1736,1109,183,1321,-1
145,221305,1704,4965,2856,1479,371,437,328,943,374,244,914,414,465,197,829,434,275,211,1255,-1
146,8945,44727,43621,16590,26455,33216,3296,8913,6103,14346,1150,2439,8385,1033,1375,3347,4313,2136,5826,3784,1
147,57987,8990,57861,4068,11822,9655,3115,1503,3626,1396,3053,2364,864,837,1133,1591,56063,1134,8816,4122,1
148,5954,82800,2941,25130,28976,41658,1068,2894,9772,966,493,2148,1145,1549,19976,8480,275,1527,1900,348,1
149,27931,3277,3846,4511,969,33931,4669,1152,1898,3478,2929,3146,584,1244,2026,1641,1677,137641,1746,1704,1
150,30758,100338,31883,8127,1575,2112,24379,5234,1973,8540,4556,1431,2395,1092,230,1875,8203,2640,391,2268,1
151,7334,85591,10570,7187,22100,2912,6298,7662,4337,4387,5512,3063,1263,25367,2353,2009,24102,3485,12979,1489,1
152,138570,1784,7038,2125,7255,5630,5529,2655,2430,2045,1116,2008,39578,5848,1402,898,1603,8519,2900,1067,1
153,43425,1301,8483,5149,6656,2846,5168,2291,129455,899,2406,1312,3149,1305,3004,2204,6413,10814,1392,2328,1
154,119160,25667,5457,3578,16923,5080,2347,7652,5590,1188,2676,2180,9227,4529,2032,1006,1933,913,20487,2375,1
155,164081,11853,4457,1982,5286,2395,5241,3900,3146,3201,1387,1179,1703,5927,5790,409,1372,4338,1392,10961,1
156,206464,22875,174,104,4052,123,205,200,151,2105,159,377,188,526,187,203,93,1604,156,54,-1
157,225156,4822,75,1040,2542,217,183,240,383,161,214,219,2714,168,812,127,258,261,112,296,-1
158,211055,69,69,186,211,30,235,105,16268,77,1858,54,61,60,138,828,78,84,8453,81,-1
159,958,26396,199542,675,219,637,876,169,1583,146,798,1363,647,2890,565,1072,126,157,869,312,-1
160,4892,2230,203,928,75,212766,10501,122,1953,176,795,101,117,104,258,1264,1108,1291,101,1015,-1
161,219681,1110,4521,569,748,3405,4199,955,139,554,704,221,1361,104,290,189,207,690,115,238,-1
162,225026,4551,3403,318,597,103,918,345,219,1182,399,99,139,596,185,224,575,114,880,127,-1
163,219415,5007,3830,285,3171,1032,250,387,270,219,502,1005,707,324,339,333,191,202,781,1750,-1
164,195503,10155,9389,197,10822,3558,219,1458,184,936,290,283,1330,1191,980,166,485,284,262,2308,-1
165,218298,322,240,286,250,305,2315,399,1250,216,230,259,419,13608,164,208,267,203,306,455,-1
166,34397,16473,3346,6374,6042,5955,7710,26114,9824,7931,31262,2928,8124,17745,9256,2489,2714,13712,23755,3849,1
167,14006,6362,29536,9995,8491,33750,20635,12027,18858,4508,7262,6589,12502,6535,5042,13368,11186,3568,6377,9403,1
168,13192,9205,97072,14096,11329,5898,5743,2312,9581,8011,6273,2727,5194,12078,6492,6752,3864,6583,12422,1176,1
169,107143,11673,10071,13822,4522,1891,5129,9559,5683,3530,6259,2661,8745,8336,4500,4258,12539,4867,4515,10297,1
170,145529,5331,3704,2876,7635,4411,7656,8037,1323,11025,2359,3265,7804,3495,4700,993,7225,3208,5815,3609,1
171,146733,3022,9799,900,395,12242,14505,3281,7514,1015,2561,1027,1233,1598,20019,5162,2032,4484,1372,1106,1
172,116953,6635,14913,8149,2449,16233,602,4050,2124,1563,32893,886,1750,18672,1518,1010,1372,1263,5025,1940,1
173,38015,8628,40532,2003,6376,8773,9347,2201,3958,5165,28524,36813,2952,1577,5874,2423,2981,2398,28003,3457,1
174,20584,13019,7969,1247,3405,157208,3252,4422,3536,1387,1545,1476,2108,7247,4832,1490,895,1131,2253,994,1
175,130198,4542,3947,14965,2435,8418,2275,8760,4547,1589,4214,9689,1854,26627,1044,3815,1347,785,3089,5860,1
